director_key,director_name
fba3749716d55087d1af55c877152ab8,"Aaron Nee, Adam Nee"
a2864a78c95a323d4c15a63d6ded0bc2,"Jerry Rothwell, Reuben Atlas"
efaa8b9d27a61af474d182395bbeb0a5,"Ritu Sarin, Tenzing Sonam"
eafa044f7e0a673a439c5a861e1ad23a,Walter Hill
928035be1e7d432acf41c54f1159786d,Dave Green
18eb67a0f489daaaefe28bb51f6302f8,Anand Tucker
29e8f7d0213e28f99dd58bd69d8efa3d,James L. Brooks
31b9059982824873232017c8d5a71234,Mimi Leder
fde4c5314c12bbd4b85ce4c198378df6,Taron Lexton
5e96d635b7b8c5823ca468f27b72f73b,Gillian Robespierre
f07adba750250f1cb0480d9a7fc386e2,Lydia Tenaglia
0cc7311b684f8bde345c011a5328e031,Deniz Gamze Ergüven
1b89a40e76788ad7215abb882648878f,Sam Levinson
60c9c5dfa1c7b54d342b99b0b9f8ea3b,Jean-Marc Vallée
14bd37948aafec0826b28639d24a07fa,Floria Sigismondi
ff3af37fa414c7af5fb7749331209438,William Monahan
4ae5b24f55842c21eafc2122a03d8085,Quinn Lasher
d700905cb32843b85c22953477db6a1b,Amal Neerad
603bc9dba27fb132748c866bf2a2c9c8,Sanjay Jadhav
a1264a8a7ef783b1bb318281fecebd75,Radhu Karmakar
882a7308143631f99c37451c29ec29a9,Anil Sharma
a9dfa0690ab6ecbf032fbef1c0f3cf59,Glendyn Ivin
03cfdb5dea69fa0fbddef8539c8939ef,Michael Gallagher
854676ac2920c55687124f93dd6c5558,Chandrakant Kulkarni
4711374729563459a6f8fce7d5ba575f,Ozan Açıktan
6e003b658ec66f2503015ee9f023574f,Vince Marcello
4c895feec52093a0842625144fbccd43,Michael Fimognari
04fdaf6e6bfeacb8380391c34f397ab2,James Bamford
7eeefa14a3cd496502fb27233ff79fff,Steven Rinella
7203f1b92f0c2261e3fd10c2d107217e,Griffin Dunne
bc7a327fd1415d46abc9f008a1fbf1e1,Alex Gibney
e5a699766caae21f84b410914b8b16c3,Larry Elikann
f47e85abbddfb8316ec226f703e3cf4f,John Upchurch
0d1dfa0f9427185d496534120e89a40e,Farhan Alam
421fb55273f4021037077293b8b9cac1,Ofir Raul Graizer
b1c832e56d7e2424e439888d29316355,Ruel S. Bayani
6ab4a73f3bdd41f73380b9cc918bd865,Tig Notaro
2d5b514033c06d8b835c64fc9a7964ed,Steven R. Monroe
e4b566d5950a747db9933b0f9afaf1fa,Mike Rohl
6f6e0a5661bcd06ec0a6cd466a16647d,"Wong Jing, Jason Kwan"
3682a75cfa7d044d8add1e484bf16f98,Jeff Chan
4d0c1e559b62df882c25bba9f7c4cea3,Shigeaki Kubo
8f9e10729548130f9f1a1ad3e536a3bb,Joey Kern
32f37325e8dc2864d9a5173163174e66,Maha Venkatesh
9c3607fa6b855a590bbdc2fdf25f63d6,Marc Fouchard
2a03133856cbca7a5a92e904ff238a9d,Varun Narvekar
f26703a0f0d4a9f5feb650d2971f2a8f,Müfit Can Saçıntı
6675518e8fc684e4c4195d2e47be4d01,Daniel Monzón
680b078d26f684345d4329cb78e56a12,Alex Richanbach
f98a2ad150073fa241a92f744b234c54,"Mauricio Dias, Tatiana Villela"
3d08b0b778cb159a682ef671e855457f,Madeleine Gavin
85523c2ac3fe12770fb92e2b24df409f,"Lindsey Cordero, Armando Croda"
046f4f18c75551b7a5267bdb4957dcd8,"Pablo Lejarreta, Luis Alfaro"
b73a749f2b4d1a3ea234c249b2c7585f,Salima Koroma
38f554bf76a4f4f42e4963d15e73a44f,Todd S. Yellin
bfd66cc8c43bb0e4b2875d851722514f,Anand Ravichandran
